Date,Deaths,Confirmed_Infected,
1/21/2020 0:00,,331,
1/22/2020 0:00,,555,
1/23/2020 0:00,,654,
1/24/2020 0:00,24,941,
1/25/2020 0:00,52,2014,
1/26/2020 0:00,76,2794,
1/27/2020 0:00,100,4473,
1/28/2020 0:00,125,6057,
1/29/2020 0:00,162,7785,
1/30/2020 0:00,162,8235,
1/31/2020 0:00,249,11373,
2/1/2020 0:00,249,12024,
2/2/2020 0:00,350,17295,
2/3/2020 0:00,414,20197,
2/4/2020 0:00,414,20588,
